OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,PHL,DCA,1.00,1
AA,PHL,DCA,1.00,1
AA,PHL,DCA,1.00,1
AA,PHL,DCA,1.00,1
AA,PHL,DCA,1.00,1
AA,DCA,CLT,0.00,2
AA,DCA,CLT,1.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,1.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,1.00,2
AA,DFW,DCA,1.00,5
AA,DCA,CLT,0.00,2
AA,DCA,CLT,1.00,2
AA,DCA,CLT,0.00,2
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,MCO,0.00,4
AA,DCA,MCO,0.00,4
AA,DCA,MCO,0.00,4
AA,DCA,MCO,0.00,4
AA,DCA,MCO,1.00,4
